relation_id,:START_ID,:END_ID,:TYPE,source_name,target_name,source_type,target_type,source_file,evidence,tier,confidence,notes
R00001,E0149,E0141,Located_In,장쑤,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00002,E0150,E0141,Located_In,충칭,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00003,E0151,E0141,Located_In,산둥,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00004,E0152,E0141,Located_In,상하이,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00005,E0153,E0141,Located_In,옌타이,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00006,E0154,E0141,Located_In,베이징,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00007,E0155,E0141,Located_In,창춘,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00008,E0156,E0141,Located_In,쑤저우,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00009,E0157,E0141,Located_In,톈진,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00010,E0158,E0141,Located_In,옌청,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00011,E0159,E0141,Located_In,우시,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00012,E0160,E0141,Located_In,창저우,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00013,E0161,E0141,Located_In,칭다오,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00014,E0162,E0141,Located_In,난징,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00015,E0163,E0141,Located_In,광저우,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00016,E0164,E0245,Located_In,하노이,베트남,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00017,E0165,E0141,Located_In,쿤밍,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00018,E0166,E0141,Located_In,난창,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00019,E0167,E0141,Located_In,심천,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00020,E0168,E0141,Located_In,소주,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00021,E0169,E0141,Located_In,지린시,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00022,E0170,E0141,Located_In,중웨이,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00023,E0171,E0141,Located_In,샤먼,중국,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00024,E0172,E0142,Located_In,슈투트가르트,독일,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00025,E0173,E0142,Located_In,프리드리히스하펜,독일,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00026,E0174,E0142,Located_In,하노버,독일,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00027,E0175,E0142,Located_In,뒤스부르크,독일,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00028,E0176,E0142,Located_In,페클링겐,독일,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00029,E0177,E0142,Located_In,울름,독일,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00030,E0178,E0142,Located_In,Hanau,독일,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
R00031,E0179,E0143,Located_In,Évora,포르투갈,Region,Country,자동차공급망_편집,지역이 위치한 국가,,confirmed,Region -> Country
